date,end_of_day,vol
2022-02-26,2785.3389569017427,0.9696400216457761
2022-02-27,2629.48312082149,0.9712833698022616
2022-02-28,2919.294962425658,0.9761051759351501
2022-03-01,2977.276039756805,0.9705317736867598
2022-03-02,2953.315776286441,0.9693147094708155
2022-03-03,2836.9063366005576,0.9688494450155991
2022-03-04,2619.356137634489,0.9718263183830055
2022-03-05,2668.70597865687,0.9719296300244455
2022-03-06,2558.359874049847,0.9698517087452003
2022-03-07,2498.658864965217,0.969484607067869
2022-03-08,2576.6271539947625,0.9679634389126714
2022-03-09,2731.037685293996,0.9695666563821925
2022-03-10,2611.4647225047097,0.9699122407330564
2022-03-11,2562.8323535359655,0.9700763766138234
2022-03-12,2579.4581356883637,0.9695407481229781
2022-03-13,2518.492845270615,0.9660221306381056
2022-03-14,2591.5420409591425,0.9657948164767943
2022-03-15,2620.363852420936,0.9648992520027148
2022-03-16,2771.759457292368,0.9664635276622817
2022-03-17,2817.401074966818,0.9665259035873967
2022-03-18,2945.7459101862714,0.967043512456073
2022-03-19,2947.226158224087,0.9668755152204349
2022-03-20,2860.641960901919,0.9674023399286602
2022-03-21,2896.5869324317464,0.9672919280858449
2022-03-22,2969.78498365825,0.9656552877794126
2022-03-23,3028.8352577107285,0.9657471517574006
2022-03-24,3106.657023584939,0.9642590086093645
2022-03-25,3106.072054158695,0.9642646222859623
2022-03-26,3140.8757105064406,0.9618784416311914
2022-03-27,3285.1730967305425,0.9628260733398643
2022-03-28,3328.9341246867148,0.9627196539108523
2022-03-29,3401.184431040135,0.9601166768979075
2022-03-30,3383.7887617814154,0.9601035946962779
2022-03-31,3283.3028425717257,0.9598944888350767
2022-04-01,3451.1960908672754,0.9607693753804653
2022-04-02,3440.3362384891684,0.9574122707092347
2022-04-03,3521.5847247785246,0.9558965315279684
2022-04-04,3520.9671175043636,0.9555030131860801
2022-04-05,3422.9698837547116,0.9559649727939153
2022-04-06,3171.371104498954,0.9589718858762161
2022-04-07,3232.834988999582,0.9571084577661458
2022-04-08,3192.0250912893603,0.9562213206108773
2022-04-09,3265.938067729151,0.9564112778083853
2022-04-10,3219.159553453764,0.9559915554356273
2022-04-11,2992.7021064252435,0.9587527877228651
2022-04-12,3038.209421996366,0.9588235100343673
2022-04-13,3121.399823462041,0.9563363994350491
2022-04-14,3023.417211885316,0.9554798514387367
2022-04-15,3045.42807480128,0.9549252814431299
2022-04-16,3066.3580141449797,0.9542005077263418
2022-04-17,2995.719421019825,0.9538979657494114
2022-04-18,3061.8905711469047,0.9530711934941708
2022-04-19,3104.688447526111,0.9524326345540982
2022-04-20,3079.6764776018495,0.9499085839532253
2022-04-21,2987.4888760341605,0.9502498679618704
2022-04-22,2967.085285238213,0.9500718196011192
2022-04-23,2940.6879777714407,0.9497387734760602
2022-04-24,2922.901865199808,0.9474731784859349
2022-04-25,3008.3363470853,0.9469881540028187
2022-04-26,2806.748835957046,0.9446298031012167
2022-04-27,2889.5922230230817,0.9440268437361844
2022-04-28,2932.455083612903,0.9433967333613074
2022-04-29,2817.4898821916195,0.9442685679535635
2022-04-30,2738.1741359527714,0.944709820305337
2022-05-01,2832.513106895354,0.9434233364551126
2022-05-02,2861.3723755560436,0.9434653586508288
2022-05-03,2786.0472478011084,0.9294848239055646
2022-05-04,2942.052313122658,0.929363195675892
2022-05-05,2753.936566546688,0.9277005634065043
2022-05-06,2699.7072470893745,0.9278784186151785
2022-05-07,2641.229106940243,0.9281422754430926
2022-05-08,2517.8299224886478,0.9215557538004242
2022-05-09,2249.8909622207443,0.9276603333089275
2022-05-10,2344.797715643986,0.9285544909381325
2022-05-11,2080.910243657776,0.9338864424847712
2022-05-12,1966.6991711336661,0.9331626246469548
2022-05-13,2010.214051125259,0.932610000838869
2022-05-14,2064.229357512243,0.9285727136722256
2022-05-15,2147.047447880575,0.9235637894602723
2022-05-16,2025.8886983912162,0.9251406008990676
2022-05-17,2095.178884796724,0.9216846667122092
2022-05-18,1915.1771232664505,0.925047309096188
2022-05-19,2023.8482593608173,0.8885567490757305
2022-05-20,1963.9909395294865,0.8823616438332914
2022-05-21,1978.1471325624789,0.8727958000918085
2022-05-22,2046.6463496545232,0.872181000582586
2022-05-23,1974.5811944790914,0.8690956128780395
2022-05-24,1979.770545006472,0.8338006983296897
2022-05-25,1944.8428445072448,0.8337293257665506
